Department,SKUID,Brand,Model,UnitsSold,AvgUnitCost,NetRevenue,COGS,AvgDailyInvCOGS,MarkupRatio,ItemTurns,VelocityTier,NoSalesHistory,IsMarkdown,MarkdownDepth,MarkdownRate
Ski Hardware,SKI_HARDWARE_0013,Deepfreeze,Deepfreeze Origin,0,512.62,271.27,198.2,240.86,1.3687,0.8229,Slow,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0014,Rockline,Rockline Origin,16,78.07,1379.38,1274.53,1137.59,1.0823,1.1204,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0015,Rockline,Rockline LTD,16,312.5,6503.78,5105.32,2430.26,1.2739,2.1007,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0016,Gravelpath,Gravelpath Crest,17,396.94,9527.68,6905.61,4979.08,1.3797,1.3869,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0017,Mesaflow,Mesaflow Enduro,0,433.77,343.16,251.4,554.16,1.365,0.4537,Dead,True,True,0.2725,0.6784
Ski Hardware,SKI_HARDWARE_0018,Deepfreeze,Deepfreeze Crest,28,188.98,6711.88,5436.42,4337.94,1.2346,1.2532,Slow,False,True,0.2392,0.4885
Ski Hardware,SKI_HARDWARE_0019,Stonepath,Stonepath Origin,3,260.26,1026.04,933.73,484.92,1.0989,1.9256,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0020,Gravelpath,Gravelpath LTD,0,320.96,123.94,100.66,145.03,1.2312,0.6941,Slow,True,True,0.3688,0.6547
Ski Hardware,SKI_HARDWARE_0021,Frostline,Frostline Xpedition,0,420.63,43.64,30.0,20.0,1.4544,1.5002,Moderate,True,True,0.3262,0.4292
Ski Hardware,SKI_HARDWARE_0022,Rockline,Rockline Foundation,26,204.67,5684.72,5456.83,2382.64,1.0418,2.2902,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0023,Deepfreeze,Deepfreeze Lite,10,511.78,6904.71,5458.1,3879.06,1.265,1.4071,Slow,False,True,0.0982,0.4913
Ski Hardware,SKI_HARDWARE_0024,Frostline,Frostline Summit,3,649.43,2988.38,2327.93,1636.26,1.2837,1.4227,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0025,Gravelpath,Gravelpath Base,4,36.33,216.27,175.25,104.09,1.2341,1.6837,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0026,Dustfall,Dustfall X1,2,593.52,1778.06,1371.79,1116.96,1.2962,1.2281,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0027,Gravelpath,Gravelpath Traverse,9,400.94,4829.45,3723.27,3615.09,1.2971,1.0299,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0028,Deepfreeze,Deepfreeze Ascent,0,524.21,523.13,459.37,1542.83,1.1388,0.2977,Dead,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0029,Gravelpath,Gravelpath Base,45,43.38,2658.08,1969.82,973.04,1.3494,2.0244,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0030,Mesaflow,Mesaflow Sport,2,416.17,1220.56,902.69,866.97,1.3521,1.0412,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0031,Deepfreeze,Deepfreeze X1,1,189.12,249.63,223.53,465.61,1.1167,0.4801,Dead,False,True,0.408,0.4558
Ski Hardware,SKI_HARDWARE_0032,Gravelpath,Gravelpath Team,2,576.78,1822.35,1446.49,2354.99,1.2598,0.6142,Slow,False,True,0.3507,0.5178
Ski Hardware,SKI_HARDWARE_0033,Deepfreeze,Deepfreeze Venture,4,513.54,2714.07,2378.05,3935.48,1.1413,0.6043,Slow,False,True,0.3154,0.6157
Ski Hardware,SKI_HARDWARE_0034,Gravelpath,Gravelpath Comp,0,460.26,186.86,177.13,195.1,1.0549,0.9079,Slow,True,True,0.3403,0.5824
Ski Hardware,SKI_HARDWARE_0035,Rockline,Rockline Signature,0,93.35,131.9,93.22,69.71,1.4149,1.3373,Slow,True,True,0.2515,0.6016
Ski Hardware,SKI_HARDWARE_0036,Frostline,Frostline Apex,5,278.26,1723.04,1427.2,1076.68,1.2073,1.3256,Slow,False,True,0.1474,0.2881
Ski Hardware,SKI_HARDWARE_0037,Stonepath,Stonepath Apex,3,317.65,1261.32,1069.63,1257.17,1.1792,0.8508,Slow,False,True,0.2199,0.5855
Ski Hardware,SKI_HARDWARE_0038,Stonepath,Stonepath Apex,11,217.85,3118.92,2536.82,2704.31,1.2295,0.9381,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0039,Dustfall,Dustfall Lite,1,245.94,542.16,447.82,771.68,1.2107,0.5803,Slow,False,True,0.3834,0.5914
Ski Hardware,SKI_HARDWARE_0040,Frostline,Frostline Base,4,523.52,2640.64,2215.1,2078.79,1.1921,1.0656,Slow,False,True,0.2108,0.5922
Ski Hardware,SKI_HARDWARE_0041,Rockline,Rockline Xpedition,0,229.17,106.21,90.01,66.65,1.1799,1.3506,Slow,True,True,0.2971,0.3093
Ski Hardware,SKI_HARDWARE_0042,Mesaflow,Mesaflow Traverse,18,253.27,4858.57,4613.94,12789.54,1.053,0.3608,Dead,False,True,0.2704,0.4577
Ski Hardware,SKI_HARDWARE_0043,Deepfreeze,Deepfreeze Team,4,505.97,3257.25,2224.68,2741.92,1.4641,0.8114,Slow,False,True,0.3084,0.3992
Ski Hardware,SKI_HARDWARE_0044,Stonepath,Stonepath Trail,109,150.12,19745.14,16441.13,14136.62,1.201,1.163,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0045,Stonepath,Stonepath Signature,3,643.13,2871.61,2201.7,2942.94,1.3043,0.7481,Slow,False,True,0.2319,0.6963
Ski Hardware,SKI_HARDWARE_0046,Gravelpath,Gravelpath Ridge,15,68.59,1237.95,1063.95,440.67,1.1635,2.4144,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0047,Deepfreeze,Deepfreeze Elite,149,132.35,23216.63,19809.17,7497.67,1.172,2.642,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0048,Frostline,Frostline Origin,0,327.8,157.1,123.03,268.79,1.2769,0.4577,Dead,True,True,0.1628,0.5179
Ski Hardware,SKI_HARDWARE_0049,Deepfreeze,Deepfreeze Comp,2,428.26,1458.7,1180.17,1704.1,1.236,0.6925,Slow,False,True,0.2797,0.5895
Ski Hardware,SKI_HARDWARE_0050,Gravelpath,Gravelpath Crest,16,551.71,11826.08,9242.16,5655.51,1.2796,1.6342,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0051,Stonepath,Stonepath Team,17,592.84,12281.46,10227.26,2974.59,1.2009,3.4382,Fast,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0052,Mesaflow,Mesaflow Base,4,269.89,1257.23,1125.87,2054.73,1.1167,0.5479,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0053,Mesaflow,Mesaflow Ridge,11,139.09,2098.38,1608.55,2245.03,1.3045,0.7165,Slow,False,True,0.2483,0.6213
Ski Hardware,SKI_HARDWARE_0054,Dustfall,Dustfall Series II,3,193.71,719.07,597.8,1222.8,1.2029,0.4889,Dead,False,True,0.3155,0.4475
Ski Hardware,SKI_HARDWARE_0055,Stonepath,Stonepath Venture,0,588.9,401.63,339.36,153.38,1.1835,2.2126,Moderate,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0056,Dustfall,Dustfall Tour,18,90.11,1803.05,1642.98,1760.71,1.0974,0.9331,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0057,Rockline,Rockline Enduro,9,630.92,7533.8,6101.62,8865.99,1.2347,0.6882,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0058,Frostline,Frostline LTD,45,43.88,2086.44,2012.84,659.88,1.0366,3.0503,Fast,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0059,Stonepath,Stonepath Ascent,0,636.04,42.84,34.68,20.0,1.2354,1.7339,Moderate,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0060,Frostline,Frostline Elite,4,524.9,3000.15,2622.27,1167.71,1.1441,2.2457,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0061,Mesaflow,Mesaflow X1,1,48.78,88.4,85.57,60.53,1.033,1.4138,Slow,False,True,0.2504,0.3427
Ski Hardware,SKI_HARDWARE_0062,Mesaflow,Mesaflow Summit,1,524.15,908.87,845.21,1207.09,1.0753,0.7002,Slow,False,True,0.2518,0.7134
Ski Hardware,SKI_HARDWARE_0063,Mesaflow,Mesaflow Comp,4,446.05,2295.55,1853.89,1655.32,1.2382,1.12,Slow,False,True,0.2259,0.4782
Ski Hardware,SKI_HARDWARE_0064,Rockline,Rockline Apex,1,237.96,267.24,262.0,426.56,1.02,0.6142,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0065,Dustfall,Dustfall Traverse,2,191.69,594.31,504.76,1357.51,1.1774,0.3718,Dead,False,True,0.2459,0.6646
Ski Hardware,SKI_HARDWARE_0066,Stonepath,Stonepath Summit,0,649.21,12.23,9.53,20.0,1.2834,0.4764,Dead,True,True,0.2848,0.5802
Ski Hardware,SKI_HARDWARE_0067,Stonepath,Stonepath Base,5,596.47,3676.61,2995.79,7178.38,1.2273,0.4173,Dead,False,True,0.2989,0.7681
Ski Hardware,SKI_HARDWARE_0068,Dustfall,Dustfall Sport,7,304.47,2937.41,2362.14,1545.57,1.2435,1.5283,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0069,Deepfreeze,Deepfreeze Xpedition,4,493.24,2324.52,2251.69,2453.94,1.0323,0.9176,Slow,False,True,0.2522,0.5348
Ski Hardware,SKI_HARDWARE_0070,Stonepath,Stonepath Series II,2,352.67,1308.36,1037.87,2331.78,1.2606,0.4451,Dead,False,True,0.3545,0.6253
Ski Hardware,SKI_HARDWARE_0071,Gravelpath,Gravelpath Pro,16,116.24,2508.84,1933.21,3674.06,1.2978,0.5262,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0072,Stonepath,Stonepath Pro,22,513.38,14374.06,11492.73,8257.31,1.2507,1.3918,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0073,Gravelpath,Gravelpath Xpedition,0,532.85,51.23,44.35,20.0,1.1553,2.2173,Moderate,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0074,Frostline,Frostline Comp,7,82.4,802.56,620.68,737.9,1.293,0.8411,Slow,False,True,0.2528,0.5833
Ski Hardware,SKI_HARDWARE_0075,Mesaflow,Mesaflow Origin,99,83.1,8434.79,8269.4,4411.0,1.02,1.8747,Moderate,False,True,0.0633,0.3349
Ski Hardware,SKI_HARDWARE_0076,Frostline,Frostline Ascent,25,50.21,1731.93,1305.29,1328.07,1.3269,0.9828,Slow,False,True,0.2645,0.6403
Ski Hardware,SKI_HARDWARE_0077,Frostline,Frostline Traverse,24,267.09,8154.45,6427.67,9730.1,1.2686,0.6606,Slow,False,True,0.2907,0.6431
Ski Hardware,SKI_HARDWARE_0078,Dustfall,Dustfall Series II,0,327.37,28.38,23.89,21.87,1.1879,1.0926,Slow,True,True,0.301,0.4874
Ski Hardware,SKI_HARDWARE_0079,Rockline,Rockline Signature,20,171.25,4659.93,3507.82,3365.39,1.3284,1.0423,Slow,False,True,0.2082,0.6745
Ski Hardware,SKI_HARDWARE_0080,Mesaflow,Mesaflow Trail,38,309.21,12996.22,11920.04,7051.31,1.0903,1.6905,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0081,Stonepath,Stonepath LTD,1,598.7,1005.41,844.67,564.73,1.1903,1.4957,Slow,False,True,0.277,0.5562
Ski Hardware,SKI_HARDWARE_0082,Gravelpath,Gravelpath Base,1,377.74,966.9,735.18,2352.6,1.3152,0.3125,Dead,False,True,0.2055,0.6234
Ski Hardware,SKI_HARDWARE_0083,Deepfreeze,Deepfreeze Tour,0,506.5,287.33,227.28,75.51,1.2642,3.0101,Fast,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0084,Mesaflow,Mesaflow Tour,0,399.36,425.58,385.69,414.6,1.1034,0.9303,Slow,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0085,Gravelpath,Gravelpath Sport,0,523.1,306.98,236.18,359.58,1.2998,0.6568,Slow,True,True,0.3668,0.6369
Ski Hardware,SKI_HARDWARE_0086,Stonepath,Stonepath Ridge,32,236.97,9669.56,7761.83,4939.38,1.2458,1.5714,Moderate,False,True,0.1914,0.3387
Ski Hardware,SKI_HARDWARE_0087,Stonepath,Stonepath Enduro,1,580.49,860.59,636.19,219.63,1.3527,2.8966,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0088,Dustfall,Dustfall Comp,60,127.3,8460.54,7725.21,6268.97,1.0952,1.2323,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0089,Deepfreeze,Deepfreeze Base,0,645.63,704.03,585.9,548.13,1.2016,1.0689,Slow,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0090,Rockline,Rockline Series II,52,356.88,22613.86,18617.71,14724.05,1.2146,1.2644,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0091,Deepfreeze,Deepfreeze LTD,1,204.29,259.32,240.39,331.88,1.0787,0.7243,Slow,False,True,0.1797,0.5532
Ski Hardware,SKI_HARDWARE_0092,Gravelpath,Gravelpath Elite,27,178.32,6578.33,4992.23,2507.81,1.3177,1.9907,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0093,Dustfall,Dustfall LTD,3,476.69,2140.15,1712.36,1283.49,1.2498,1.3341,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0094,Frostline,Frostline Comp,2,343.22,1106.82,940.78,1716.68,1.1765,0.548,Slow,False,True,0.2651,0.6114
Ski Hardware,SKI_HARDWARE_0095,Mesaflow,Mesaflow X1,12,267.64,4158.82,3346.59,4324.73,1.2427,0.7738,Slow,False,True,0.2996,0.4458
Ski Hardware,SKI_HARDWARE_0096,Stonepath,Stonepath Comp,25,314.91,8645.84,7946.68,3229.38,1.088,2.4607,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0097,Gravelpath,Gravelpath Ridge,0,486.76,158.74,132.55,118.43,1.1977,1.1192,Slow,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0098,Rockline,Rockline Team,3,589.31,2384.66,2184.59,828.38,1.0916,2.6372,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0099,Mesaflow,Mesaflow Xpedition,2,487.96,1491.59,1096.85,1197.03,1.3599,0.9163,Slow,False,True,0.3871,0.5467
Ski Hardware,SKI_HARDWARE_0100,Mesaflow,Mesaflow Venture,56,219.69,15145.45,12376.15,11854.51,1.2238,1.044,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0101,Mesaflow,Mesaflow Foundation,1,609.16,1507.57,1149.29,1552.55,1.3117,0.7403,Slow,False,True,0.3402,0.5667
Ski Hardware,SKI_HARDWARE_0102,Dustfall,Dustfall MAX,0,450.64,126.11,101.27,91.34,1.2453,1.1086,Slow,True,True,0.2987,0.4225
Ski Hardware,SKI_HARDWARE_0103,Stonepath,Stonepath Carbon,4,193.77,1175.1,964.13,905.62,1.2188,1.0646,Slow,False,True,0.1814,0.4851
Ski Hardware,SKI_HARDWARE_0104,Deepfreeze,Deepfreeze Elite,6,322.3,2415.89,1949.43,1819.05,1.2393,1.0717,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0105,Frostline,Frostline Comp,9,177.54,1683.88,1650.86,4329.6,1.02,0.3813,Dead,False,True,0.3058,0.6027
Ski Hardware,SKI_HARDWARE_0106,Dustfall,Dustfall Venture,11,620.3,8078.57,7388.93,3951.08,1.0933,1.8701,Moderate,False,True,0.2202,0.5563
Ski Hardware,SKI_HARDWARE_0107,Rockline,Rockline Carbon,0,407.79,26.84,26.03,96.06,1.0311,0.271,Dead,True,True,0.2956,0.6222
Ski Hardware,SKI_HARDWARE_0108,Frostline,Frostline X1,17,482.6,9420.83,8271.01,4177.93,1.139,1.9797,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0109,Gravelpath,Gravelpath Xpedition,3,506.13,2358.48,1931.97,1411.99,1.2208,1.3683,Slow,False,True,0.2023,0.6964
Ski Hardware,SKI_HARDWARE_0110,Stonepath,Stonepath Comp,5,552.97,3944.93,3240.61,6022.97,1.2173,0.538,Slow,False,True,0.3244,0.6428
Ski Hardware,SKI_HARDWARE_0111,Rockline,Rockline LTD,2,570.73,2244.63,1685.74,881.57,1.3315,1.9122,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0112,Gravelpath,Gravelpath Team,18,119.91,2241.65,2197.69,931.07,1.02,2.3604,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0113,Frostline,Frostline Elite,14,328.06,5729.0,4803.98,6014.33,1.1926,0.7988,Slow,False,True,0.3063,0.5336
Ski Hardware,SKI_HARDWARE_0114,Rockline,Rockline MAX,1,322.64,522.83,415.91,376.83,1.2571,1.1037,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0115,Deepfreeze,Deepfreeze Base,28,178.01,5546.88,5092.81,3328.01,1.0892,1.5303,Moderate,False,True,0.2797,0.4926
Ski Hardware,SKI_HARDWARE_0116,Gravelpath,Gravelpath Pro,0,271.09,174.98,130.97,90.45,1.336,1.4479,Slow,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0117,Stonepath,Stonepath Summit,2,486.7,1273.95,1018.99,4780.95,1.2502,0.2131,Dead,False,True,0.3515,0.6729
Ski Hardware,SKI_HARDWARE_0118,Gravelpath,Gravelpath Summit,0,520.1,152.15,112.38,152.22,1.3539,0.7383,Slow,True,True,0.2857,0.6047
Ski Hardware,SKI_HARDWARE_0119,Stonepath,Stonepath Enduro,0,421.86,251.49,227.64,192.31,1.1048,1.1837,Slow,True,True,0.1713,0.4863
Ski Hardware,SKI_HARDWARE_0120,Gravelpath,Gravelpath Xpedition,2,114.27,380.36,313.41,169.79,1.2136,1.8459,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0001,Alpenglow,Alpenglow Origin,2,383.91,1347.2,1061.48,1091.24,1.2692,0.9727,Slow,False,True,0.2327,0.6985
Snowboard Hardware,SNOWBOARD_HARD_0002,Terracross,Terracross Foundation,1,556.56,903.47,666.6,627.64,1.3553,1.0621,Slow,False,True,0.3099,0.5321
Snowboard Hardware,SNOWBOARD_HARD_0003,Alpenglow,Alpenglow Venture,5,253.77,1708.68,1391.93,2437.93,1.2276,0.5709,Slow,False,True,0.3083,0.5395
Snowboard Hardware,SNOWBOARD_HARD_0004,Iceform,Iceform Venture,0,628.14,9.16,7.28,20.0,1.2571,0.3642,Dead,True,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0005,Terracross,Terracross Xpedition,7,572.99,4816.82,4267.82,6800.26,1.1286,0.6276,Slow,False,True,0.1412,0.6382
Snowboard Hardware,SNOWBOARD_HARD_0006,Alpenglow,Alpenglow Signature,5,401.76,2411.88,2364.59,2268.0,1.02,1.0426,Slow,False,True,0.0969,0.4936
Snowboard Hardware,SNOWBOARD_HARD_0007,Edgewood,Edgewood Base,100,197.74,23004.04,19846.24,10539.54,1.1591,1.883,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0008,Alpenglow,Alpenglow Xpedition,10,311.04,4252.7,3349.94,3127.61,1.2695,1.0711,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0009,Alpenglow,Alpenglow LTD,3,409.03,1663.6,1355.09,1545.85,1.2277,0.8766,Slow,False,True,0.3338,0.577
Snowboard Hardware,SNOWBOARD_HARD_0010,Terracross,Terracross Carbon,5,235.5,1842.64,1408.84,1258.32,1.3079,1.1196,Slow,False,True,0.3105,0.5464
Snowboard Hardware,SNOWBOARD_HARD_0011,Edgewood,Edgewood Enduro,6,429.86,3824.78,2989.99,879.53,1.2792,3.3995,Fast,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0012,Terracross,Terracross Ridge,11,40.69,613.17,480.95,626.57,1.2749,0.7676,Slow,False,True,0.2218,0.7914
Snowboard Hardware,SNOWBOARD_HARD_0013,Alpenglow,Alpenglow Elite,1,588.69,1010.76,762.16,957.11,1.3262,0.7963,Slow,False,True,0.3153,0.4279
Snowboard Hardware,SNOWBOARD_HARD_0014,Terracross,Terracross Base,1,116.44,179.46,125.42,69.76,1.4309,1.7978,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0015,Edgewood,Edgewood Traverse,7,299.25,2556.83,2124.79,2228.09,1.2033,0.9536,Slow,False,True,0.1661,0.6249
Snowboard Hardware,SNOWBOARD_HARD_0016,Terracross,Terracross LTD,0,77.59,32.95,29.64,20.0,1.1117,1.482,Slow,True,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0017,Edgewood,Edgewood Crest,0,550.24,169.94,129.03,251.13,1.3171,0.5138,Slow,True,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0018,Alpenglow,Alpenglow Base,22,361.49,10642.9,8260.63,5612.75,1.2884,1.4718,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0019,Edgewood,Edgewood Ascent,18,306.45,5690.82,5579.24,2340.0,1.02,2.3843,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0020,Iceform,Iceform MAX,8,66.94,749.49,550.64,435.29,1.3611,1.265,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0021,Alpenglow,Alpenglow X1,9,40.23,522.07,376.91,457.58,1.3851,0.8237,Slow,False,True,0.1673,0.7401
Snowboard Hardware,SNOWBOARD_HARD_0022,Terracross,Terracross Carbon,13,635.59,10742.51,8324.74,7683.77,1.2904,1.0834,Slow,False,True,0.2411,0.5032
Snowboard Hardware,SNOWBOARD_HARD_0023,Terracross,Terracross Elite,2,594.67,1617.29,1241.26,1431.86,1.3029,0.8669,Slow,False,True,0.2759,0.6002
Snowboard Hardware,SNOWBOARD_HARD_0024,Alpenglow,Alpenglow Venture,75,617.67,49730.28,46679.0,11159.86,1.0654,4.1828,Fast,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0025,Edgewood,Edgewood Sport,2,615.68,2141.45,1604.65,383.73,1.3345,4.1817,Fast,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0026,Iceform,Iceform Venture,2,220.7,761.35,599.01,561.29,1.271,1.0672,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0027,Edgewood,Edgewood Summit,3,474.25,2048.67,1544.16,810.97,1.3267,1.9041,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0028,Alpenglow,Alpenglow Origin,0,332.51,16.25,14.27,20.0,1.1388,0.7133,Slow,True,True,0.2827,0.5228
Snowboard Hardware,SNOWBOARD_HARD_0029,Iceform,Iceform Ascent,12,284.56,4909.01,3642.54,6103.48,1.3477,0.5968,Slow,False,True,0.2128,0.7242
Snowboard Hardware,SNOWBOARD_HARD_0030,Alpenglow,Alpenglow Ridge,4,314.41,2023.35,1372.5,972.28,1.4742,1.4116,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0031,Iceform,Iceform Signature,12,427.65,6943.18,5409.4,5409.32,1.2835,1.0,Slow,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0032,Terracross,Terracross X1,5,416.83,3366.66,2287.98,2032.58,1.4715,1.1257,Slow,False,True,0.2789,0.615
Snowboard Hardware,SNOWBOARD_HARD_0033,Terracross,Terracross Origin,0,531.26,339.3,265.44,356.79,1.2783,0.7439,Slow,True,True,0.2083,0.4272
Snowboard Hardware,SNOWBOARD_HARD_0034,Alpenglow,Alpenglow Carbon,26,143.5,4715.95,3798.6,8517.99,1.2415,0.446,Dead,False,True,0.1717,0.5789
Snowboard Hardware,SNOWBOARD_HARD_0035,Alpenglow,Alpenglow Tour,536,115.6,66739.15,61967.61,15967.11,1.077,3.881,Fast,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0036,Iceform,Iceform Tour,11,498.67,7157.56,5762.79,3503.09,1.242,1.6451,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0037,Terracross,Terracross LTD,19,111.17,2398.18,2208.61,1125.61,1.0858,1.9621,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0038,Edgewood,Edgewood Lite,0,463.58,479.05,411.33,347.16,1.1646,1.1849,Slow,True,True,0.1869,0.544
Snowboard Hardware,SNOWBOARD_HARD_0039,Alpenglow,Alpenglow Trail,1,536.59,935.82,846.18,473.29,1.1059,1.7879,Moderate,False,False,0.0,0.0
Snowboard Hardware,SNOWBOARD_HARD_0040,Iceform,Iceform MAX,9,265.78,2960.15,2450.92,1697.54,1.2078,1.4438,Slow,False,True,0.2315,0.6813
Snowboard Hardware,SNOWBOARD_HARD_0041,Edgewood,Edgewood Tour,1,209.47,477.04,370.5,297.23,1.2876,1.2465,Slow,False,True,0.1476,0.5256
