Department,SKUID,Brand,UnitsOnOrder,POCostValue,ExpectedReceiptDays
Bikes,BIKES_0129,Duskridge,12,3502.68,29
Bikes,BIKES_0132,Basecamp,18,10942.2,40
Bikes,BIKES_0134,Basecamp,6,155.28,21
Bikes,BIKES_0140,Duskridge,9,1971.18,32
Bikes,BIKES_0143,Basecamp,30,18633.0,19
Bikes,BIKES_0146,Basecamp,4,261.04,63
Bike Components,BIKE_COMPONENT_0001,Pinnacle,10,5770.7,22
Bike Components,BIKE_COMPONENT_0002,Alpenglow,3,1468.77,15
Bike Components,BIKE_COMPONENT_0003,Iceform,8,1947.44,4
Bike Components,BIKE_COMPONENT_0015,Alpenglow,9,1392.84,30
Bike Components,BIKE_COMPONENT_0022,Alpenglow,13,4760.73,44
Bike Components,BIKE_COMPONENT_0026,Pinnacle,5,2720.15,69
Bike Components,BIKE_COMPONENT_0029,Pinnacle,2,780.2,30
Bike Components,BIKE_COMPONENT_0034,Opentrail,6,3134.04,5
Bike Components,BIKE_COMPONENT_0040,Basecamp,18,6778.26,29
Bike Components,BIKE_COMPONENT_0044,Basecamp,19,10242.71,65
Bike Components,BIKE_COMPONENT_0045,Ridgecrest,9,1103.58,17
Bike Components,BIKE_COMPONENT_0047,Alpenglow,18,6425.1,82
Bike Components,BIKE_COMPONENT_0048,Opentrail,13,2218.06,111
Bike Components,BIKE_COMPONENT_0058,Iceform,10,5651.1,72
Bike Components,BIKE_COMPONENT_0076,Ridgecrest,7,130.13,3
Bike Components,BIKE_COMPONENT_0084,Basecamp,41,19576.27,28
Bike Components,BIKE_COMPONENT_0087,Ridgecrest,8,2307.44,21
Bike Components,BIKE_COMPONENT_0093,Basecamp,8,3371.44,58
Bike Components,BIKE_COMPONENT_0096,Ridgecrest,13,769.86,30
Bike Components,BIKE_COMPONENT_0097,Ridgecrest,5,1693.15,39
Bike Components,BIKE_COMPONENT_0102,Basecamp,21,6895.56,81
Bike Components,BIKE_COMPONENT_0109,Pinnacle,25,5180.0,63
Bike Components,BIKE_COMPONENT_0111,Alpenglow,5,1445.9,55
Bike Components,BIKE_COMPONENT_0114,Basecamp,17,5735.97,36
Bike Components,BIKE_COMPONENT_0121,Basecamp,20,6760.6,44
Bike Components,BIKE_COMPONENT_0135,Iceform,5,2848.05,16
Bike Components,BIKE_COMPONENT_0137,Alpenglow,14,1673.14,15
Bike Components,BIKE_COMPONENT_0138,Iceform,7,156.45,7
Bike Components,BIKE_COMPONENT_0139,Ridgecrest,8,1274.24,54
Bike Components,BIKE_COMPONENT_0140,Iceform,4,2010.64,47
Bike Components,BIKE_COMPONENT_0147,Alpenglow,4,1078.0,52
Bike Components,BIKE_COMPONENT_0161,Alpenglow,1,44.46,65
Bike Components,BIKE_COMPONENT_0165,Alpenglow,13,2508.22,32
Bike Components,BIKE_COMPONENT_0171,Iceform,15,8481.3,34
Bike Components,BIKE_COMPONENT_0181,Ridgecrest,2,366.28,58
Bike Components,BIKE_COMPONENT_0184,Iceform,10,1158.7,50
Bike Components,BIKE_COMPONENT_0186,Alpenglow,5,2697.75,52
Bike Components,BIKE_COMPONENT_0189,Pinnacle,8,2410.88,7
Bike Components,BIKE_COMPONENT_0196,Alpenglow,7,1217.65,33
Bike Components,BIKE_COMPONENT_0201,Opentrail,4,2347.68,47
Bike Components,BIKE_COMPONENT_0202,Opentrail,8,4331.52,55
Bike Components,BIKE_COMPONENT_0206,Ridgecrest,8,2488.56,67
Bike Components,BIKE_COMPONENT_0209,Alpenglow,2,374.3,60
Bike Components,BIKE_COMPONENT_0210,Basecamp,23,7224.76,33
Bike Components,BIKE_COMPONENT_0212,Pinnacle,6,2386.98,70
Bike Components,BIKE_COMPONENT_0214,Alpenglow,6,3186.66,33
Bike Components,BIKE_COMPONENT_0220,Pinnacle,2,606.0,83
Bike Components,BIKE_COMPONENT_0235,Basecamp,29,4079.43,7
Bike Components,BIKE_COMPONENT_0246,Opentrail,10,2099.1,3
Bike Components,BIKE_COMPONENT_0247,Basecamp,9,805.95,33
Bike Components,BIKE_COMPONENT_0249,Alpenglow,6,1756.02,72
Bike Components,BIKE_COMPONENT_0250,Basecamp,20,2925.0,7
Bike Components,BIKE_COMPONENT_0251,Basecamp,12,3390.12,84
Bike Components,BIKE_COMPONENT_0268,Ridgecrest,2,216.58,9
Bike Components,BIKE_COMPONENT_0274,Pinnacle,7,3753.61,55
Bike Components,BIKE_COMPONENT_0282,Ridgecrest,4,1268.64,16
Bike Components,BIKE_COMPONENT_0301,Iceform,2,83.12,33
Bike Components,BIKE_COMPONENT_0303,Basecamp,37,13435.07,19
Bike Components,BIKE_COMPONENT_0304,Pinnacle,13,2784.21,25
Bike Components,BIKE_COMPONENT_0305,Ridgecrest,10,4103.9,67
Bike Components,BIKE_COMPONENT_0310,Iceform,33,19530.06,55
Bike Components,BIKE_COMPONENT_0319,Basecamp,5,1331.1,101
Bike Components,BIKE_COMPONENT_0323,Basecamp,50,29927.5,17
Bike Components,BIKE_COMPONENT_0324,Alpenglow,26,6346.34,33
Bike Components,BIKE_COMPONENT_0330,Ridgecrest,1,397.4,44
Bike Components,BIKE_COMPONENT_0334,Alpenglow,6,1107.0,97
Bike Components,BIKE_COMPONENT_0338,Pinnacle,3,135.81,83
Bike Components,BIKE_COMPONENT_0339,Alpenglow,10,5814.8,55
Bike Components,BIKE_COMPONENT_0349,Iceform,2,429.86,29
Kayaks & Canoes,KAYAKS_AND_CAN_0007,Alpenglow,6,961.08,88
Kayaks & Canoes,KAYAKS_AND_CAN_0009,Coastline,2,1289.6,47
Kayaks & Canoes,KAYAKS_AND_CAN_0010,Ridgecrest,4,1986.64,26
Kayaks & Canoes,KAYAKS_AND_CAN_0012,Ridgecrest,15,8320.05,73
Kayaks & Canoes,KAYAKS_AND_CAN_0015,Alpenglow,6,670.92,21
Kayaks & Canoes,KAYAKS_AND_CAN_0016,Terracross,10,1511.0,91
Kayaks & Canoes,KAYAKS_AND_CAN_0018,Ridgecrest,15,9677.85,7
Kayaks & Canoes,KAYAKS_AND_CAN_0019,Terracross,2,675.14,64
Kayaks & Canoes,KAYAKS_AND_CAN_0021,Ridgecrest,10,5637.3,107
Kayaks & Canoes,KAYAKS_AND_CAN_0025,Rockline,9,3831.84,46
Kayaks & Canoes,KAYAKS_AND_CAN_0029,Ridgecrest,20,3739.8,68
Kayaks & Canoes,KAYAKS_AND_CAN_0030,Ridgecrest,6,2884.32,60
Kayaks & Canoes,KAYAKS_AND_CAN_0033,Ironpass,10,5929.9,76
Kayaks & Canoes,KAYAKS_AND_CAN_0043,Ridgecrest,4,220.64,58
Kayaks & Canoes,KAYAKS_AND_CAN_0045,Coastline,6,572.1,21
Kayaks & Canoes,KAYAKS_AND_CAN_0046,Alpenglow,7,2806.86,38
Kayaks & Canoes,KAYAKS_AND_CAN_0048,Alpenglow,9,2541.78,7
Kayaks & Canoes,KAYAKS_AND_CAN_0050,Ironpass,16,1281.92,49
Kayaks & Canoes,KAYAKS_AND_CAN_0051,Terracross,7,1594.32,73
Kayaks & Canoes,KAYAKS_AND_CAN_0055,Ridgecrest,10,3187.2,36
Kayaks & Canoes,KAYAKS_AND_CAN_0060,Rockline,9,4557.06,84
Kayaks & Canoes,KAYAKS_AND_CAN_0063,Coastline,5,424.4,58
Kayaks & Canoes,KAYAKS_AND_CAN_0066,Rockline,14,2530.08,79
Kayaks & Canoes,KAYAKS_AND_CAN_0068,Rockline,9,4273.47,75
Kayaks & Canoes,KAYAKS_AND_CAN_0069,Ridgecrest,6,3883.32,43
Kayaks & Canoes,KAYAKS_AND_CAN_0071,Ironpass,4,1407.92,32
Kayaks & Canoes,KAYAKS_AND_CAN_0072,Ridgecrest,7,2635.57,7
Kayaks & Canoes,KAYAKS_AND_CAN_0077,Ironpass,13,3192.15,56
Paddle & SUP Accessories,PADDLE_AND_SUP_0005,Stonepath,19,10897.64,33
Paddle & SUP Accessories,PADDLE_AND_SUP_0028,Duskridge,16,2176.16,24
Paddle & SUP Accessories,PADDLE_AND_SUP_0037,Canyonset,4,520.28,38
Paddle & SUP Accessories,PADDLE_AND_SUP_0046,Firncrest,12,4102.68,51
Paddle & SUP Accessories,PADDLE_AND_SUP_0059,Powderline,7,1795.57,33
Paddle & SUP Accessories,PADDLE_AND_SUP_0060,Powderline,5,1262.75,63
Paddle & SUP Accessories,PADDLE_AND_SUP_0069,Iceform,16,314.08,22
Paddle & SUP Accessories,PADDLE_AND_SUP_0077,Canyonset,7,4158.42,5
Paddle & SUP Accessories,PADDLE_AND_SUP_0082,Duskridge,14,6145.86,75
Paddle & SUP Accessories,PADDLE_AND_SUP_0102,Canyonset,5,1530.0,38
Paddle & SUP Accessories,PADDLE_AND_SUP_0110,Firncrest,5,2432.15,11
Paddle & SUP Accessories,PADDLE_AND_SUP_0120,Canyonset,12,1285.2,82
Paddle & SUP Accessories,PADDLE_AND_SUP_0137,Basecamp,7,1356.11,74
Paddle & SUP Accessories,PADDLE_AND_SUP_0143,Basecamp,6,112.14,7
Camping & Shelter,CAMPING_AND_SH_0007,Gravelpath,6,2542.68,7
Camping & Shelter,CAMPING_AND_SH_0008,Opentrail,5,3088.6,22
Camping & Shelter,CAMPING_AND_SH_0012,Iceform,17,9702.41,45
Camping & Shelter,CAMPING_AND_SH_0013,Iceform,5,2927.9,28
Camping & Shelter,CAMPING_AND_SH_0015,Iceform,10,322.7,18
Camping & Shelter,CAMPING_AND_SH_0019,Northeave,10,3569.7,54
Camping & Shelter,CAMPING_AND_SH_0020,Iceform,10,4889.7,43
Camping & Shelter,CAMPING_AND_SH_0035,Gravelpath,15,5066.85,52
Camping & Shelter,CAMPING_AND_SH_0036,Powderline,3,982.47,27
Camping & Shelter,CAMPING_AND_SH_0039,Gravelpath,6,122.94,48
Camping & Shelter,CAMPING_AND_SH_0041,Northeave,3,1931.49,75
Camping & Shelter,CAMPING_AND_SH_0042,Opentrail,2,707.2,13
Camping & Shelter,CAMPING_AND_SH_0045,Gravelpath,1,510.17,34
Camping & Shelter,CAMPING_AND_SH_0050,Gravelpath,11,5746.29,38
Camping & Shelter,CAMPING_AND_SH_0051,Iceform,7,4365.41,84
Camping & Shelter,CAMPING_AND_SH_0062,Northeave,6,628.98,34
Camping & Shelter,CAMPING_AND_SH_0066,Powderline,5,1584.6,51
Camping & Shelter,CAMPING_AND_SH_0071,Iceform,8,4701.84,64
Camping & Shelter,CAMPING_AND_SH_0073,Frostline,5,1672.3,7
Camping & Shelter,CAMPING_AND_SH_0078,Iceform,6,1766.1,36
Camping & Shelter,CAMPING_AND_SH_0080,Gravelpath,12,3618.36,5
Camping & Shelter,CAMPING_AND_SH_0094,Shorebreak,3,629.07,14
Camping & Shelter,CAMPING_AND_SH_0101,Frostline,22,12003.64,88
Camping & Shelter,CAMPING_AND_SH_0103,Opentrail,5,1106.55,54
Camping & Shelter,CAMPING_AND_SH_0112,Northeave,23,14368.79,54
Camping & Shelter,CAMPING_AND_SH_0114,Frostline,11,5302.11,50
Camping & Shelter,CAMPING_AND_SH_0116,Iceform,44,27041.96,45
Camping & Shelter,CAMPING_AND_SH_0126,Northeave,8,965.76,46
Camping & Shelter,CAMPING_AND_SH_0130,Gravelpath,2,457.7,55
Camping & Shelter,CAMPING_AND_SH_0133,Shorebreak,11,3629.78,23
Camping & Shelter,CAMPING_AND_SH_0138,Iceform,3,1801.23,44
Camping & Shelter,CAMPING_AND_SH_0143,Gravelpath,10,779.3,29
Camping & Shelter,CAMPING_AND_SH_0145,Frostline,9,3348.45,65
Camping & Shelter,CAMPING_AND_SH_0148,Gravelpath,38,15666.64,94
Camping & Shelter,CAMPING_AND_SH_0149,Gravelpath,13,4738.5,35
Camping & Shelter,CAMPING_AND_SH_0153,Northeave,25,7512.25,14
Sleep Systems,SLEEP_SYSTEMS_0009,Ridgecrest,7,636.02,71
Sleep Systems,SLEEP_SYSTEMS_0016,Ironpass,4,1362.36,17
Sleep Systems,SLEEP_SYSTEMS_0018,Clearwater,18,3974.94,79
Sleep Systems,SLEEP_SYSTEMS_0019,Canyonset,11,1899.04,7
Sleep Systems,SLEEP_SYSTEMS_0025,Ironpass,21,1981.77,53
Sleep Systems,SLEEP_SYSTEMS_0030,Ridgecrest,19,6751.65,35
Sleep Systems,SLEEP_SYSTEMS_0033,Ridgecrest,14,4419.8,24
Sleep Systems,SLEEP_SYSTEMS_0036,Ridgecrest,1,245.77,44
Sleep Systems,SLEEP_SYSTEMS_0038,Clearwater,7,382.69,33
Sleep Systems,SLEEP_SYSTEMS_0039,Summitform,7,3757.18,37
Sleep Systems,SLEEP_SYSTEMS_0040,Summitform,9,4873.95,35
Sleep Systems,SLEEP_SYSTEMS_0047,Canyonset,6,1266.24,19
Sleep Systems,SLEEP_SYSTEMS_0054,Gravelpath,14,7457.24,91
Sleep Systems,SLEEP_SYSTEMS_0056,Shorebreak,5,138.95,30
Sleep Systems,SLEEP_SYSTEMS_0059,Ridgecrest,4,102.16,53
Sleep Systems,SLEEP_SYSTEMS_0069,Clearwater,1,87.85,11
Sleep Systems,SLEEP_SYSTEMS_0073,Shorebreak,16,427.84,56
Sleep Systems,SLEEP_SYSTEMS_0074,Shorebreak,5,312.25,58
Sleep Systems,SLEEP_SYSTEMS_0076,Ironpass,10,4892.0,52
Sleep Systems,SLEEP_SYSTEMS_0084,Summitform,15,3133.2,48
Sleep Systems,SLEEP_SYSTEMS_0091,Clearwater,6,3544.38,17
Sleep Systems,SLEEP_SYSTEMS_0094,Ironpass,11,4435.97,73
Sleep Systems,SLEEP_SYSTEMS_0101,Ridgecrest,1,437.02,9
Sleep Systems,SLEEP_SYSTEMS_0102,Basecamp,11,712.58,107
Sleep Systems,SLEEP_SYSTEMS_0109,Ridgecrest,8,1665.12,19
Climbing Gear,CLIMBING_GEAR_0002,Highmark,8,887.52,18
Climbing Gear,CLIMBING_GEAR_0006,Hardpack,5,854.45,7
Climbing Gear,CLIMBING_GEAR_0007,Coastline,5,1035.45,20
Climbing Gear,CLIMBING_GEAR_0019,Coastline,14,2182.46,56
Climbing Gear,CLIMBING_GEAR_0024,Opentrail,9,3627.09,32
Climbing Gear,CLIMBING_GEAR_0025,Highmark,6,3004.5,9
Climbing Gear,CLIMBING_GEAR_0026,Hardpack,22,10714.88,20
Climbing Gear,CLIMBING_GEAR_0030,Opentrail,6,1027.56,13
Climbing Gear,CLIMBING_GEAR_0033,Coastline,7,3876.39,9
Climbing Gear,CLIMBING_GEAR_0036,Coastline,5,771.25,7
Climbing Gear,CLIMBING_GEAR_0049,Hardpack,4,286.04,7
Climbing Gear,CLIMBING_GEAR_0056,Opentrail,2,1031.92,3
Climbing Gear,CLIMBING_GEAR_0073,Highmark,7,400.19,17
Climbing Gear,CLIMBING_GEAR_0089,Coastline,37,1919.93,27
Climbing Gear,CLIMBING_GEAR_0092,Hardpack,7,4210.71,33
Climbing Gear,CLIMBING_GEAR_0100,Opentrail,7,957.53,19
Climbing Gear,CLIMBING_GEAR_0116,Opentrail,2,1284.86,63
Climbing Gear,CLIMBING_GEAR_0131,Coastline,26,13712.92,36
Climbing Gear,CLIMBING_GEAR_0133,Opentrail,4,2034.64,7
Climbing Gear,CLIMBING_GEAR_0136,Coastline,40,25838.0,30
Climbing Gear,CLIMBING_GEAR_0151,Coastline,5,2757.55,38
Climbing Gear,CLIMBING_GEAR_0161,Opentrail,5,1231.75,74
Climbing Gear,CLIMBING_GEAR_0165,Hardpack,3,622.35,13
Climbing Gear,CLIMBING_GEAR_0173,Opentrail,6,2772.66,25
Climbing Gear,CLIMBING_GEAR_0181,Hardpack,8,2581.84,19
Climbing Gear,CLIMBING_GEAR_0184,Coastline,9,5576.13,29
Climbing Gear,CLIMBING_GEAR_0228,Coastline,6,2005.02,62
Packs & Luggage,PACKS_AND_LUGG_0005,Stonepath,8,5069.76,67
Packs & Luggage,PACKS_AND_LUGG_0007,Rockline,13,1573.13,26
Packs & Luggage,PACKS_AND_LUGG_0011,Coldrun,5,772.85,48
Packs & Luggage,PACKS_AND_LUGG_0012,Ridgecrest,3,950.31,63
Packs & Luggage,PACKS_AND_LUGG_0014,Hardpack,9,1387.35,31
Packs & Luggage,PACKS_AND_LUGG_0029,Rockline,3,582.21,109
Packs & Luggage,PACKS_AND_LUGG_0032,Hardpack,28,7978.04,43
Packs & Luggage,PACKS_AND_LUGG_0036,Hardpack,7,2235.66,42
Packs & Luggage,PACKS_AND_LUGG_0040,Coldrun,15,4912.65,5
Packs & Luggage,PACKS_AND_LUGG_0043,Coldrun,6,1123.14,53
Packs & Luggage,PACKS_AND_LUGG_0046,Ridgecrest,15,9025.8,15
Packs & Luggage,PACKS_AND_LUGG_0052,Ridgecrest,7,3791.48,25
Packs & Luggage,PACKS_AND_LUGG_0059,Hardpack,6,3307.8,7
Packs & Luggage,PACKS_AND_LUGG_0062,Rockline,41,19380.29,23
Packs & Luggage,PACKS_AND_LUGG_0070,Stonepath,9,5557.95,32
Packs & Luggage,PACKS_AND_LUGG_0081,Stonepath,4,1794.32,32
Packs & Luggage,PACKS_AND_LUGG_0085,Stonepath,7,2129.82,3
Packs & Luggage,PACKS_AND_LUGG_0088,Rockline,8,4012.32,25
Packs & Luggage,PACKS_AND_LUGG_0090,Hardpack,4,1345.64,35
Packs & Luggage,PACKS_AND_LUGG_0093,Rockline,4,1948.68,31
Packs & Luggage,PACKS_AND_LUGG_0094,Stonepath,7,3502.73,7
Packs & Luggage,PACKS_AND_LUGG_0107,Hardpack,7,1028.93,63
Packs & Luggage,PACKS_AND_LUGG_0111,Hardpack,3,941.76,33
Packs & Luggage,PACKS_AND_LUGG_0114,Stonepath,3,1175.19,7
Packs & Luggage,PACKS_AND_LUGG_0118,Rockline,18,5853.96,58
Packs & Luggage,PACKS_AND_LUGG_0121,Stonepath,9,2332.35,13
Packs & Luggage,PACKS_AND_LUGG_0122,Stonepath,2,1120.58,107
Packs & Luggage,PACKS_AND_LUGG_0125,Stonepath,7,1004.15,40
Packs & Luggage,PACKS_AND_LUGG_0126,Hardpack,11,4744.74,6
Snow Outerwear,SNOW_OUTERWEAR_0001,Firncrest,2,399.3,7
Snow Outerwear,SNOW_OUTERWEAR_0008,Pinnacle,9,3788.19,111
Snow Outerwear,SNOW_OUTERWEAR_0010,Edgewood,7,223.79,23
Snow Outerwear,SNOW_OUTERWEAR_0013,Deepfreeze,4,840.68,59
Snow Outerwear,SNOW_OUTERWEAR_0015,Edgewood,13,6297.33,16
Snow Outerwear,SNOW_OUTERWEAR_0016,Ironpass,13,1164.15,73
Snow Outerwear,SNOW_OUTERWEAR_0023,Deepfreeze,8,1785.12,35
Snow Outerwear,SNOW_OUTERWEAR_0025,Ironpass,2,230.34,75
Snow Outerwear,SNOW_OUTERWEAR_0029,Pinnacle,5,1243.5,56
Snow Outerwear,SNOW_OUTERWEAR_0047,Edgewood,11,3312.54,26
