SKUID,Department,TxnCount,AvgDaysBetweenSales,MaxGapDays,DaysSinceLastSale,FirstSaleDaysAgo
SKI_HARDWARE_0069,Ski Hardware,4,149.8,180.3,81.5,680.7
SKI_HARDWARE_0070,Ski Hardware,1,284.0,365.0,121.9,405.9
SKI_HARDWARE_0071,Ski Hardware,9,263.5,365.0,18.0,730.0
SKI_HARDWARE_0072,Ski Hardware,13,112.3,217.6,126.3,730.0
SKI_HARDWARE_0073,Ski Hardware,0,,,,
SKI_HARDWARE_0074,Ski Hardware,5,280.4,365.0,61.2,730.0
SKI_HARDWARE_0075,Ski Hardware,99,150.7,365.0,35.0,730.0
SKI_HARDWARE_0076,Ski Hardware,23,195.1,321.3,52.2,730.0
SKI_HARDWARE_0077,Ski Hardware,23,146.6,201.7,58.4,730.0
SKI_HARDWARE_0078,Ski Hardware,0,,,,
SKI_HARDWARE_0079,Ski Hardware,14,233.4,365.0,46.9,730.0
SKI_HARDWARE_0080,Ski Hardware,38,191.9,365.0,15.4,730.0
SKI_HARDWARE_0081,Ski Hardware,1,128.6,298.9,65.7,194.2
SKI_HARDWARE_0082,Ski Hardware,1,274.7,365.0,160.1,434.8
SKI_HARDWARE_0083,Ski Hardware,0,,,,
SKI_HARDWARE_0084,Ski Hardware,0,,,,
SKI_HARDWARE_0085,Ski Hardware,0,,,,
SKI_HARDWARE_0086,Ski Hardware,32,173.4,365.0,17.3,730.0
SKI_HARDWARE_0087,Ski Hardware,1,157.4,365.0,17.0,174.4
SKI_HARDWARE_0088,Ski Hardware,41,260.2,365.0,35.3,730.0
SKI_HARDWARE_0089,Ski Hardware,0,,,,
SKI_HARDWARE_0090,Ski Hardware,34,176.9,365.0,94.6,730.0
SKI_HARDWARE_0091,Ski Hardware,1,171.3,289.6,82.6,253.9
SKI_HARDWARE_0092,Ski Hardware,26,72.7,170.6,12.8,730.0
SKI_HARDWARE_0093,Ski Hardware,3,204.3,365.0,150.8,730.0
SKI_HARDWARE_0094,Ski Hardware,1,348.3,365.0,43.2,391.5
SKI_HARDWARE_0095,Ski Hardware,9,365.0,365.0,26.5,730.0
SKI_HARDWARE_0096,Ski Hardware,25,81.2,287.8,6.4,730.0
SKI_HARDWARE_0097,Ski Hardware,0,,,,
SKI_HARDWARE_0098,Ski Hardware,1,83.6,196.4,13.6,97.1
SKI_HARDWARE_0099,Ski Hardware,1,171.2,196.6,30.8,202.0
SKI_HARDWARE_0100,Ski Hardware,56,359.8,365.0,109.0,730.0
SKI_HARDWARE_0101,Ski Hardware,1,148.3,203.0,34.8,183.1
SKI_HARDWARE_0102,Ski Hardware,0,,,,
SKI_HARDWARE_0103,Ski Hardware,2,301.0,365.0,45.9,647.8
SKI_HARDWARE_0104,Ski Hardware,6,154.4,365.0,68.2,730.0
SKI_HARDWARE_0105,Ski Hardware,7,321.1,365.0,98.6,730.0
SKI_HARDWARE_0106,Ski Hardware,4,142.7,216.9,6.3,577.0
SKI_HARDWARE_0107,Ski Hardware,0,,,,
SKI_HARDWARE_0108,Ski Hardware,11,101.8,297.1,30.1,730.0
SKI_HARDWARE_0109,Ski Hardware,3,305.8,365.0,83.8,730.0
SKI_HARDWARE_0110,Ski Hardware,3,365.0,365.0,90.1,730.0
SKI_HARDWARE_0111,Ski Hardware,1,147.4,365.0,11.1,158.5
SKI_HARDWARE_0112,Ski Hardware,17,110.6,200.0,9.6,730.0
SKI_HARDWARE_0113,Ski Hardware,9,233.5,365.0,38.2,730.0
SKI_HARDWARE_0114,Ski Hardware,1,215.0,365.0,53.0,268.0
SKI_HARDWARE_0115,Ski Hardware,25,185.4,266.9,16.7,730.0
SKI_HARDWARE_0116,Ski Hardware,0,,,,
SKI_HARDWARE_0117,Ski Hardware,1,365.0,365.0,93.3,458.3
SKI_HARDWARE_0118,Ski Hardware,0,,,,
SKI_HARDWARE_0119,Ski Hardware,0,,,,
SKI_HARDWARE_0120,Ski Hardware,2,126.4,165.6,3.0,255.7
SNOWBOARD_HARD_0001,Snowboard Hardware,1,174.7,365.0,51.3,226.0
SNOWBOARD_HARD_0002,Snowboard Hardware,1,145.4,365.0,66.6,211.9
SNOWBOARD_HARD_0003,Snowboard Hardware,3,286.6,365.0,65.8,730.0
SNOWBOARD_HARD_0004,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0005,Snowboard Hardware,7,364.1,365.0,55.4,730.0
SNOWBOARD_HARD_0006,Snowboard Hardware,3,129.7,298.0,30.8,419.8
SNOWBOARD_HARD_0007,Snowboard Hardware,76,98.0,335.5,45.6,730.0
SNOWBOARD_HARD_0008,Snowboard Hardware,10,231.9,365.0,77.5,730.0
SNOWBOARD_HARD_0009,Snowboard Hardware,2,181.0,365.0,53.3,415.3
SNOWBOARD_HARD_0010,Snowboard Hardware,2,99.5,245.7,79.4,278.4
SNOWBOARD_HARD_0011,Snowboard Hardware,3,56.2,228.7,5.1,173.6
SNOWBOARD_HARD_0012,Snowboard Hardware,11,363.2,365.0,35.8,730.0
SNOWBOARD_HARD_0013,Snowboard Hardware,1,189.1,365.0,98.7,287.8
SNOWBOARD_HARD_0014,Snowboard Hardware,1,171.4,202.0,18.8,190.2
SNOWBOARD_HARD_0015,Snowboard Hardware,3,218.7,365.0,43.4,699.5
SNOWBOARD_HARD_0016,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0017,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0018,Snowboard Hardware,12,101.4,291.6,123.4,730.0
SNOWBOARD_HARD_0019,Snowboard Hardware,16,61.9,312.7,24.1,730.0
SNOWBOARD_HARD_0020,Snowboard Hardware,5,155.6,171.1,67.3,730.0
SNOWBOARD_HARD_0021,Snowboard Hardware,7,251.5,365.0,10.0,730.0
SNOWBOARD_HARD_0022,Snowboard Hardware,8,174.9,365.0,54.2,730.0
SNOWBOARD_HARD_0023,Snowboard Hardware,1,224.1,365.0,77.9,302.0
SNOWBOARD_HARD_0024,Snowboard Hardware,49,102.1,162.0,14.4,730.0
SNOWBOARD_HARD_0025,Snowboard Hardware,1,37.6,125.9,19.5,57.2
SNOWBOARD_HARD_0026,Snowboard Hardware,1,271.8,365.0,25.8,297.6
SNOWBOARD_HARD_0027,Snowboard Hardware,2,78.1,304.5,51.5,207.8
SNOWBOARD_HARD_0028,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0029,Snowboard Hardware,5,232.0,365.0,71.6,730.0
SNOWBOARD_HARD_0030,Snowboard Hardware,3,365.0,365.0,70.9,730.0
SNOWBOARD_HARD_0031,Snowboard Hardware,6,133.7,178.6,17.8,730.0
SNOWBOARD_HARD_0032,Snowboard Hardware,3,160.6,365.0,60.4,542.2
SNOWBOARD_HARD_0033,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0034,Snowboard Hardware,16,365.0,365.0,277.9,730.0
SNOWBOARD_HARD_0035,Snowboard Hardware,433,82.5,287.5,33.4,730.0
SNOWBOARD_HARD_0036,Snowboard Hardware,7,134.5,365.0,7.3,730.0
SNOWBOARD_HARD_0037,Snowboard Hardware,18,132.4,159.9,15.3,730.0
SNOWBOARD_HARD_0038,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0039,Snowboard Hardware,1,135.9,291.3,34.2,170.1
SNOWBOARD_HARD_0040,Snowboard Hardware,5,124.8,236.4,58.5,682.6
SNOWBOARD_HARD_0041,Snowboard Hardware,1,365.0,365.0,36.0,401.0
SNOWBOARD_HARD_0042,Snowboard Hardware,24,133.6,325.9,12.8,730.0
SNOWBOARD_HARD_0043,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0044,Snowboard Hardware,10,119.3,365.0,37.1,730.0
SNOWBOARD_HARD_0045,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0046,Snowboard Hardware,1,140.4,172.8,20.9,161.3
SNOWBOARD_HARD_0047,Snowboard Hardware,1,89.6,114.6,33.4,123.0
SNOWBOARD_HARD_0048,Snowboard Hardware,53,237.6,274.5,59.4,730.0
SNOWBOARD_HARD_0049,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0050,Snowboard Hardware,1,256.4,282.0,40.7,297.1
SNOWBOARD_HARD_0051,Snowboard Hardware,19,303.2,365.0,34.3,730.0
SNOWBOARD_HARD_0052,Snowboard Hardware,24,103.8,114.2,42.8,730.0
SNOWBOARD_HARD_0053,Snowboard Hardware,1,67.3,237.9,7.7,75.0
SNOWBOARD_HARD_0054,Snowboard Hardware,3,365.0,365.0,174.3,730.0
SNOWBOARD_HARD_0055,Snowboard Hardware,2,297.0,365.0,87.4,681.4
SNOWBOARD_HARD_0056,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0057,Snowboard Hardware,1,102.5,354.1,12.6,115.1
SNOWBOARD_HARD_0058,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0059,Snowboard Hardware,8,17.2,27.1,72.2,210.1
SNOWBOARD_HARD_0060,Snowboard Hardware,23,179.0,271.8,32.9,730.0
SNOWBOARD_HARD_0061,Snowboard Hardware,3,365.0,365.0,299.6,730.0
SNOWBOARD_HARD_0062,Snowboard Hardware,4,168.6,365.0,29.0,703.3
SNOWBOARD_HARD_0063,Snowboard Hardware,2,277.6,365.0,29.2,584.3
SNOWBOARD_HARD_0064,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0065,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0066,Snowboard Hardware,2,321.7,365.0,74.8,718.2
SNOWBOARD_HARD_0067,Snowboard Hardware,3,166.2,280.2,57.5,556.3
SNOWBOARD_HARD_0068,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0069,Snowboard Hardware,3,181.8,344.3,83.8,629.1
SNOWBOARD_HARD_0070,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0071,Snowboard Hardware,5,110.8,240.6,45.0,599.0
SNOWBOARD_HARD_0072,Snowboard Hardware,9,345.0,365.0,197.3,730.0
SNOWBOARD_HARD_0073,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0074,Snowboard Hardware,2,125.4,273.4,19.6,270.4
SNOWBOARD_HARD_0075,Snowboard Hardware,2,103.7,205.5,40.3,247.8
SNOWBOARD_HARD_0076,Snowboard Hardware,1,61.7,145.7,26.0,87.7
SNOWBOARD_HARD_0077,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0078,Snowboard Hardware,12,166.7,183.4,100.7,730.0
SNOWBOARD_HARD_0079,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0080,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0081,Snowboard Hardware,2,258.1,365.0,127.9,644.2
SNOWBOARD_HARD_0082,Snowboard Hardware,26,93.9,336.4,35.9,730.0
SNOWBOARD_HARD_0083,Snowboard Hardware,1,365.0,365.0,73.6,438.6
SNOWBOARD_HARD_0084,Snowboard Hardware,28,114.1,241.0,20.0,730.0
SNOWBOARD_HARD_0085,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0086,Snowboard Hardware,6,78.2,209.6,11.3,480.5
SNOWBOARD_HARD_0087,Snowboard Hardware,9,345.1,365.0,47.3,730.0
SNOWBOARD_HARD_0088,Snowboard Hardware,3,293.0,365.0,42.8,730.0
SNOWBOARD_HARD_0089,Snowboard Hardware,7,365.0,365.0,42.8,730.0
SNOWBOARD_HARD_0090,Snowboard Hardware,1,106.7,281.1,10.5,117.2
SNOWBOARD_HARD_0091,Snowboard Hardware,1,365.0,365.0,102.8,467.8
SNOWBOARD_HARD_0092,Snowboard Hardware,2,92.2,101.4,9.1,193.5
SNOWBOARD_HARD_0093,Snowboard Hardware,11,166.3,365.0,37.6,730.0
SNOWBOARD_HARD_0094,Snowboard Hardware,1,304.5,365.0,293.6,598.1
SNOWBOARD_HARD_0095,Snowboard Hardware,2,157.4,279.6,9.0,323.7
SNOWBOARD_HARD_0096,Snowboard Hardware,5,68.3,171.5,7.3,348.6
SNOWBOARD_HARD_0097,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0098,Snowboard Hardware,5,90.8,365.0,161.2,615.2
SNOWBOARD_HARD_0099,Snowboard Hardware,25,199.5,365.0,58.5,730.0
SNOWBOARD_HARD_0100,Snowboard Hardware,1,342.6,365.0,113.7,456.3
SNOWBOARD_HARD_0101,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0102,Snowboard Hardware,1,196.3,308.7,73.2,269.5
SNOWBOARD_HARD_0103,Snowboard Hardware,4,91.3,161.8,18.2,383.4
SNOWBOARD_HARD_0104,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0105,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0106,Snowboard Hardware,1,145.1,364.9,38.9,184.0
SNOWBOARD_HARD_0107,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0108,Snowboard Hardware,25,187.1,365.0,10.4,730.0
SNOWBOARD_HARD_0109,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0110,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0111,Snowboard Hardware,7,205.3,225.8,38.8,730.0
SNOWBOARD_HARD_0112,Snowboard Hardware,36,155.3,210.4,19.5,730.0
SNOWBOARD_HARD_0113,Snowboard Hardware,6,245.0,365.0,34.5,730.0
SNOWBOARD_HARD_0114,Snowboard Hardware,1,48.9,168.2,92.9,141.9
SNOWBOARD_HARD_0115,Snowboard Hardware,8,295.2,365.0,44.2,730.0
SNOWBOARD_HARD_0116,Snowboard Hardware,4,224.6,365.0,104.6,730.0
SNOWBOARD_HARD_0117,Snowboard Hardware,1,365.0,365.0,125.5,490.5
SNOWBOARD_HARD_0118,Snowboard Hardware,1,161.7,365.0,36.2,198.0
SNOWBOARD_HARD_0119,Snowboard Hardware,6,225.9,365.0,51.1,730.0
SNOWBOARD_HARD_0120,Snowboard Hardware,1,364.0,365.0,186.5,550.5
SNOWBOARD_HARD_0121,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0122,Snowboard Hardware,41,201.1,364.2,68.6,730.0
SNOWBOARD_HARD_0123,Snowboard Hardware,13,69.2,270.4,63.1,730.0
SNOWBOARD_HARD_0124,Snowboard Hardware,3,56.3,297.4,72.4,241.4
SNOWBOARD_HARD_0125,Snowboard Hardware,17,293.8,365.0,31.9,730.0
SNOWBOARD_HARD_0126,Snowboard Hardware,1,365.0,365.0,42.8,407.8
SNOWBOARD_HARD_0127,Snowboard Hardware,22,296.4,365.0,85.5,730.0
SNOWBOARD_HARD_0128,Snowboard Hardware,3,110.2,363.8,110.1,440.8
SNOWBOARD_HARD_0129,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0130,Snowboard Hardware,3,146.5,336.7,23.5,463.0
SNOWBOARD_HARD_0131,Snowboard Hardware,1,90.6,171.8,54.5,145.1
SNOWBOARD_HARD_0132,Snowboard Hardware,1,187.2,365.0,80.2,267.4
SNOWBOARD_HARD_0133,Snowboard Hardware,3,265.1,365.0,68.9,730.0
SNOWBOARD_HARD_0134,Snowboard Hardware,0,,,,
SNOWBOARD_HARD_0135,Snowboard Hardware,6,168.9,365.0,74.5,730.0
BIKES_0001,Bikes,1,365.0,365.0,75.3,440.3
BIKES_0002,Bikes,3,75.5,172.2,8.4,235.0
BIKES_0003,Bikes,0,,,,
BIKES_0004,Bikes,2,80.8,347.4,75.8,237.5
BIKES_0005,Bikes,6,365.0,365.0,16.4,730.0
BIKES_0006,Bikes,8,289.3,365.0,47.9,730.0
BIKES_0007,Bikes,10,365.0,365.0,17.6,730.0
BIKES_0008,Bikes,3,271.5,365.0,38.1,730.0
BIKES_0009,Bikes,1,365.0,365.0,267.0,632.0
BIKES_0010,Bikes,0,,,,
BIKES_0011,Bikes,5,248.5,365.0,65.8,730.0
BIKES_0012,Bikes,131,338.3,365.0,49.1,730.0
BIKES_0013,Bikes,66,250.3,365.0,38.3,730.0
BIKES_0014,Bikes,0,,,,
BIKES_0015,Bikes,4,301.3,365.0,20.6,730.0
BIKES_0016,Bikes,21,233.5,365.0,40.6,730.0
BIKES_0017,Bikes,19,145.5,239.0,11.6,730.0
BIKES_0018,Bikes,1,165.1,257.1,53.7,218.7
BIKES_0019,Bikes,11,126.1,261.6,29.5,730.0
BIKES_0020,Bikes,1,365.0,365.0,150.3,515.3
BIKES_0021,Bikes,5,365.0,365.0,59.6,730.0
BIKES_0022,Bikes,0,,,,
BIKES_0023,Bikes,10,203.0,351.4,43.8,730.0
BIKES_0024,Bikes,0,,,,
BIKES_0025,Bikes,1,118.5,175.9,34.4,152.9
BIKES_0026,Bikes,6,152.7,244.9,64.6,730.0
BIKES_0027,Bikes,26,210.9,280.8,38.0,730.0
BIKES_0028,Bikes,1,182.3,200.6,213.6,395.9
BIKES_0029,Bikes,0,,,,
BIKES_0030,Bikes,11,214.7,365.0,81.2,730.0
BIKES_0031,Bikes,3,118.1,365.0,4.8,359.1
BIKES_0032,Bikes,10,114.3,125.8,13.5,730.0
BIKES_0033,Bikes,9,365.0,365.0,161.8,730.0
BIKES_0034,Bikes,0,,,,
BIKES_0035,Bikes,8,205.3,365.0,116.7,730.0
BIKES_0036,Bikes,1,365.0,365.0,39.7,404.7
BIKES_0037,Bikes,0,,,,
BIKES_0038,Bikes,3,166.2,354.1,49.6,548.2
BIKES_0039,Bikes,0,,,,
BIKES_0040,Bikes,36,124.2,264.9,152.3,730.0
BIKES_0041,Bikes,2,238.5,365.0,80.2,557.2
BIKES_0042,Bikes,1,104.2,264.9,51.3,155.5
BIKES_0043,Bikes,1,236.2,365.0,70.2,306.5
BIKES_0044,Bikes,1,211.6,316.6,127.1,338.7
BIKES_0045,Bikes,0,,,,
BIKES_0046,Bikes,4,322.8,365.0,61.4,730.0
BIKES_0047,Bikes,37,61.2,124.9,7.6,730.0
BIKES_0048,Bikes,13,143.3,339.0,47.5,730.0
BIKES_0049,Bikes,8,286.5,365.0,98.1,730.0
BIKES_0050,Bikes,1,190.6,365.0,176.7,367.3
BIKES_0051,Bikes,1,365.0,365.0,27.7,392.7
BIKES_0052,Bikes,0,,,,
BIKES_0053,Bikes,2,365.0,365.0,135.5,730.0
BIKES_0054,Bikes,0,,,,
BIKES_0055,Bikes,6,162.9,179.2,102.2,730.0
BIKES_0056,Bikes,1,114.7,176.7,111.5,226.2
BIKES_0057,Bikes,9,132.7,222.8,14.1,730.0
BIKES_0058,Bikes,3,75.3,171.8,31.9,257.8
BIKES_0059,Bikes,3,328.1,365.0,98.6,730.0
BIKES_0060,Bikes,25,110.9,284.9,13.6,730.0
BIKES_0061,Bikes,3,182.2,365.0,51.7,598.2
BIKES_0062,Bikes,0,,,,
BIKES_0063,Bikes,0,,,,
BIKES_0064,Bikes,2,119.1,365.0,48.7,286.8
BIKES_0065,Bikes,193,129.7,365.0,124.9,730.0
BIKES_0066,Bikes,109,271.1,326.8,26.3,730.0
BIKES_0067,Bikes,7,350.4,365.0,100.1,730.0
BIKES_0068,Bikes,0,,,,
BIKES_0069,Bikes,0,,,,
BIKES_0070,Bikes,4,102.9,223.4,32.6,444.0
BIKES_0071,Bikes,0,,,,
BIKES_0072,Bikes,46,365.0,365.0,33.8,730.0
BIKES_0073,Bikes,0,,,,
BIKES_0074,Bikes,6,245.2,365.0,78.6,730.0
BIKES_0075,Bikes,1,135.8,365.0,17.4,153.2
BIKES_0076,Bikes,18,153.1,365.0,65.5,730.0
BIKES_0077,Bikes,7,248.5,365.0,75.0,730.0
BIKES_0078,Bikes,0,,,,
BIKES_0079,Bikes,0,,,,
BIKES_0080,Bikes,4,139.5,169.7,44.0,602.1
BIKES_0081,Bikes,6,241.6,365.0,205.7,730.0
BIKES_0082,Bikes,1,208.9,261.4,110.8,319.7
BIKES_0083,Bikes,2,121.1,231.0,128.4,370.6
BIKES_0084,Bikes,1,90.1,156.1,41.9,132.0
BIKES_0085,Bikes,3,365.0,365.0,60.0,730.0
BIKES_0086,Bikes,1,140.7,263.1,139.9,280.6
BIKES_0087,Bikes,1,320.7,365.0,293.5,614.2
BIKES_0088,Bikes,1,211.2,365.0,40.0,251.2
BIKES_0089,Bikes,16,231.5,365.0,34.4,730.0
BIKES_0090,Bikes,0,,,,
BIKES_0091,Bikes,1,142.4,325.5,65.1,207.5
BIKES_0092,Bikes,1,354.7,365.0,203.7,558.4
BIKES_0093,Bikes,7,307.2,365.0,65.8,730.0
BIKES_0094,Bikes,17,176.4,365.0,25.2,730.0
BIKES_0095,Bikes,1,204.4,365.0,111.8,316.3
BIKES_0096,Bikes,10,365.0,365.0,144.0,730.0
BIKES_0097,Bikes,8,162.7,239.5,48.9,730.0
BIKES_0098,Bikes,3,364.6,365.0,97.8,730.0
BIKES_0099,Bikes,13,320.6,365.0,100.4,730.0
BIKES_0100,Bikes,22,365.0,365.0,21.1,730.0
BIKES_0101,Bikes,0,,,,
BIKES_0102,Bikes,0,,,,
BIKES_0103,Bikes,1,287.0,315.7,91.4,378.4
BIKES_0104,Bikes,1,185.0,293.5,177.0,361.9
BIKES_0105,Bikes,4,151.4,311.2,98.6,704.0
BIKES_0106,Bikes,3,72.1,79.4,17.2,233.7
BIKES_0107,Bikes,1,258.6,365.0,99.0,357.6
BIKES_0108,Bikes,0,,,,
BIKES_0109,Bikes,1,104.2,259.5,17.6,121.8
BIKES_0110,Bikes,3,65.9,245.7,14.3,212.0
BIKES_0111,Bikes,1,233.6,281.2,57.2,290.9
BIKES_0112,Bikes,3,250.1,365.0,149.7,730.0
BIKES_0113,Bikes,311,303.9,365.0,96.5,730.0
BIKES_0114,Bikes,0,,,,
BIKES_0115,Bikes,9,102.8,178.9,106.0,730.0
BIKES_0116,Bikes,0,,,,
BIKES_0117,Bikes,12,52.2,86.5,49.4,675.4
BIKES_0118,Bikes,10,238.8,365.0,69.6,730.0
BIKES_0119,Bikes,10,96.5,160.1,26.8,730.0
BIKES_0120,Bikes,3,290.1,365.0,53.5,730.0
BIKES_0121,Bikes,13,254.4,292.0,71.5,730.0
BIKES_0122,Bikes,53,365.0,365.0,14.3,730.0
BIKES_0123,Bikes,1,184.4,365.0,100.6,285.0
BIKES_0124,Bikes,0,,,,
BIKES_0125,Bikes,34,198.3,275.7,31.2,730.0
BIKES_0126,Bikes,70,123.1,321.8,16.4,730.0
BIKES_0127,Bikes,2,211.1,338.5,44.0,466.2
BIKES_0128,Bikes,0,,,,
BIKES_0129,Bikes,1,226.0,365.0,31.4,257.5
BIKES_0130,Bikes,0,,,,
BIKES_0131,Bikes,9,189.7,365.0,138.9,730.0
BIKES_0132,Bikes,9,116.6,271.2,18.5,730.0
BIKES_0133,Bikes,82,110.9,300.9,12.0,730.0
BIKES_0134,Bikes,63,261.6,365.0,104.8,730.0
